row_number,uid,original_document_id,type,gpt-5.4-mini,,,,gemini-3.1-flash-lite-preview-redo,,,,gemini-3.1-flash-lite-preview,,,,claude-haiku-4-5,,,,gemini-3.1-pro-preview,,,,AI-Generated?
196,UID-0196,SYNTH-0040,synthetic,78,real,0,,85,real,0,,85,real,0,,75,real,0,,20,synthetic,1,,FALSE
197,UID-0197,HHS-ONC-2026-0001-0170,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
198,UID-0198,HHS-ONC-2026-0001-0182,real,35,synthetic,0,,85,real,1,,85,real,1,,72,real,1,,95,real,1,,FALSE
199,UID-0199,HHS-ONC-2026-0001-0139,real,72,real,1,,85,real,1,,85,real,1,,85,real,1,,98,real,1,,FALSE
200,UID-0200,HHS-ONC-2026-0001-0295,real,92,real,1,,90,real,1,,95,real,1,,85,real,1,,0,synthetic,0,,FALSE
201,UID-0201,SYNTH-0094,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,78,real,0,,90,real,0,,FALSE
202,UID-0202,HHS-ONC-2026-0001-0019,real,35,synthetic,0,,80,real,1,,80,real,1,,82,real,1,,10,synthetic,0,,FALSE
203,UID-0203,HHS-ONC-2026-0001-0446,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
204,UID-0204,HHS-ONC-2026-0001-0294,real,78,real,1,,85,real,1,,80,real,1,,75,real,1,,90,real,1,,FALSE
205,UID-0205,HHS-ONC-2026-0001-0201,real,92,real,1,,100,real,1,,100,real,1,,5,synthetic,0,,100,real,1,,FALSE
206,UID-0206,HHS-ONC-2026-0001-0239,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,90,real,1,,FALSE
207,UID-0207,HHS-ONC-2026-0001-0266,real,72,real,1,,85,real,1,,65,real,1,,82,real,1,,35,synthetic,0,,FALSE
208,UID-0208,HHS-ONC-2026-0001-0004,real,88,real,1,,80,real,1,,80,real,1,,92,real,1,,100,real,1,,FALSE
209,UID-0209,HHS-ONC-2026-0001-0329,real,92,real,1,,95,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
210,UID-0210,HHS-ONC-2026-0001-0147,real,78,real,1,,20,synthetic,0,,80,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
211,UID-0211,HHS-ONC-2026-0001-0113,real,78,real,1,,95,real,1,,90,real,1,,92,real,1,,95,real,1,,FALSE
212,UID-0212,HHS-ONC-2026-0001-0024,real,28,synthetic,0,,85,real,1,,85,real,1,,72,real,1,,95,real,1,,FALSE
213,UID-0213,HHS-ONC-2026-0001-0057,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,90,real,1,,TRUE
214,UID-0214,HHS-ONC-2026-0001-0394,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
215,UID-0215,HHS-ONC-2026-0001-0322,real,78,real,1,,90,real,1,,90,real,1,,75,real,1,,0,synthetic,0,,FALSE
216,UID-0216,HHS-ONC-2026-0001-0371,real,72,real,1,,80,real,1,,85,real,1,,72,real,1,,95,real,1,,FALSE
217,UID-0217,HHS-ONC-2026-0001-0193,real,78,real,1,,85,real,1,,85,real,1,,92,real,1,,10,synthetic,0,,FALSE
218,UID-0218,HHS-ONC-2026-0001-0223,real,78,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
219,UID-0219,HHS-ONC-2026-0001-0263,real,78,real,1,,90,real,1,,90,real,1,,85,real,1,,20,synthetic,0,,FALSE
220,UID-0220,HHS-ONC-2026-0001-0319,real,92,real,1,,90,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
221,UID-0221,SYNTH-0071,synthetic,58,real,0,,85,real,0,,85,real,0,,72,real,0,,90,real,0,,FALSE
222,UID-0222,HHS-ONC-2026-0001-0187,real,18,synthetic,0,,80,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
223,UID-0223,HHS-ONC-2026-0001-0432,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,75,real,1,,90,real,1,,FALSE
224,UID-0224,HHS-ONC-2026-0001-0122,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
225,UID-0225,HHS-ONC-2026-0001-0259,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
226,UID-0226,HHS-ONC-2026-0001-0270,real,88,real,1,,80,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
227,UID-0227,HHS-ONC-2026-0001-0253,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,10,synthetic,0,,FALSE
228,UID-0228,HHS-ONC-2026-0001-0422,real,78,real,1,,80,real,1,,80,real,1,,15,synthetic,0,,95,real,1,,FALSE
229,UID-0229,HHS-ONC-2026-0001-0090,real,18,synthetic,0,,65,real,1,,40,synthetic,0,,25,synthetic,0,,100,real,1,,TRUE
230,UID-0230,SYNTH-0075,synthetic,86,real,0,,90,real,0,,90,real,0,,92,real,0,,95,real,0,,FALSE
231,UID-0231,HHS-ONC-2026-0001-0255,real,72,real,1,,85,real,1,,80,real,1,,72,real,1,,0,synthetic,0,,FALSE
232,UID-0232,HHS-ONC-2026-0001-0439,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
233,UID-0233,HHS-ONC-2026-0001-0335,real,92,real,1,,90,real,1,,90,real,1,,92,real,1,,10,synthetic,0,,FALSE
234,UID-0234,HHS-ONC-2026-0001-0108,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,80,real,1,,TRUE
235,UID-0235,HHS-ONC-2026-0001-0216,real,78,real,1,,80,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
236,UID-0236,SYNTH-0082,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
237,UID-0237,SYNTH-0032,synthetic,84,real,0,,85,real,0,,85,real,0,,82,real,0,,20,synthetic,1,,FALSE
238,UID-0238,SYNTH-0070,synthetic,18,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,95,real,0,,FALSE
239,UID-0239,SYNTH-0018,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,72,real,0,,90,real,0,,FALSE
240,UID-0240,HHS-ONC-2026-0001-0278,real,78,real,1,,40,synthetic,0,,40,synthetic,0,,25,synthetic,0,,95,real,1,,FALSE
241,UID-0241,SYNTH-0079,synthetic,78,real,0,,90,real,0,,95,real,0,,95,real,0,,95,real,0,,FALSE
242,UID-0242,HHS-ONC-2026-0001-0232,real,35,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
243,UID-0243,HHS-ONC-2026-0001-0341,real,72,real,1,,95,real,1,,95,real,1,,25,synthetic,0,,95,real,1,,FALSE
244,UID-0244,HHS-ONC-2026-0001-0069,real,28,synthetic,0,,40,synthetic,0,,85,real,1,,72,real,1,,100,real,1,,FALSE
245,UID-0245,HHS-ONC-2026-0001-0433,real,95,real,1,,90,real,1,,90,real,1,,92,real,1,,100,real,1,,FALSE
246,UID-0246,HHS-ONC-2026-0001-0337,real,92,real,1,,90,real,1,,90,real,1,,92,real,1,,20,synthetic,0,,FALSE
247,UID-0247,HHS-ONC-2026-0001-0157,real,35,synthetic,0,,90,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
248,UID-0248,HHS-ONC-2026-0001-0140,real,88,real,1,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
249,UID-0249,HHS-ONC-2026-0001-0162,real,92,real,1,,85,real,1,,95,real,1,,85,real,1,,95,real,1,,FALSE
250,UID-0250,SYNTH-0072,synthetic,78,real,0,,85,real,0,,85,real,0,,92,real,0,,95,real,0,,FALSE
251,UID-0251,HHS-ONC-2026-0001-0345,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
252,UID-0252,HHS-ONC-2026-0001-0064,real,18,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
253,UID-0253,HHS-ONC-2026-0001-0293,real,78,real,1,,80,real,1,,80,real,1,,15,synthetic,0,,10,synthetic,0,,FALSE
254,UID-0254,SYNTH-0062,synthetic,78,real,0,,90,real,0,,90,real,0,,82,real,0,,95,real,0,,FALSE
255,UID-0255,HHS-ONC-2026-0001-0094,real,28,synthetic,0,,80,real,1,,80,real,1,,85,real,1,,20,synthetic,0,,FALSE
256,UID-0256,SYNTH-0083,synthetic,28,synthetic,1,,30,synthetic,1,,30,synthetic,1,,72,real,0,,20,synthetic,1,,FALSE
257,UID-0257,SYNTH-0010,synthetic,28,synthetic,1,,40,synthetic,1,,40,synthetic,1,,75,real,0,,90,real,0,,FALSE
258,UID-0258,HHS-ONC-2026-0001-0029,real,72,real,1,,85,real,1,,80,real,1,,75,real,1,,10,synthetic,0,,FALSE
259,UID-0259,HHS-ONC-2026-0001-0380,real,92,real,1,,95,real,1,,85,real,1,,75,real,1,,98,real,1,,FALSE
260,UID-0260,HHS-ONC-2026-0001-0397,real,72,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
261,UID-0261,HHS-ONC-2026-0001-0401,real,92,real,1,,80,real,1,,80,real,1,,82,real,1,,100,real,1,,FALSE
262,UID-0262,HHS-ONC-2026-0001-0198,real,78,real,1,,90,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
263,UID-0263,HHS-ONC-2026-0001-0001,real,50,real,1,,0,synthetic,0,,0,synthetic,0,,0,synthetic,0,,90,real,1,,FALSE
264,UID-0264,HHS-ONC-2026-0001-0330,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
265,UID-0265,HHS-ONC-2026-0001-0269,real,78,real,1,,85,real,1,,85,real,1,,78,real,1,,0,synthetic,0,,FALSE
266,UID-0266,HHS-ONC-2026-0001-0203,real,72,real,1,,85,real,1,,85,real,1,,78,real,1,,85,real,1,,FALSE
267,UID-0267,HHS-ONC-2026-0001-0101,real,78,real,1,,90,real,1,,95,real,1,,92,real,1,,95,real,1,,FALSE
268,UID-0268,HHS-ONC-2026-0001-0304,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,80,real,1,,FALSE
269,UID-0269,HHS-ONC-2026-0001-0389,real,18,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
270,UID-0270,HHS-ONC-2026-0001-0254,real,72,real,1,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
271,UID-0271,HHS-ONC-2026-0001-0071,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,15,synthetic,0,,0,synthetic,0,,TRUE
272,UID-0272,HHS-ONC-2026-0001-0023,real,78,real,1,,90,real,1,,85,real,1,,85,real,1,,99,real,1,,FALSE
273,UID-0273,HHS-ONC-2026-0001-0307,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
274,UID-0274,HHS-ONC-2026-0001-0398,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,80,real,1,,FALSE
275,UID-0275,HHS-ONC-2026-0001-0326,real,92,real,1,,90,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
276,UID-0276,HHS-ONC-2026-0001-0178,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
277,UID-0277,HHS-ONC-2026-0001-0418,real,78,real,1,,85,real,1,,85,real,1,,85,real,1,,10,synthetic,0,,FALSE
278,UID-0278,SYNTH-0102,synthetic,35,synthetic,1,,85,real,0,,80,real,0,,75,real,0,,95,real,0,,FALSE
279,UID-0279,HHS-ONC-2026-0001-0373,real,78,real,1,,95,real,1,,95,real,1,,92,real,1,,0,synthetic,0,,FALSE
280,UID-0280,SYNTH-0021,synthetic,78,real,0,,85,real,0,,85,real,0,,78,real,0,,90,real,0,,FALSE
281,UID-0281,SYNTH-0055,synthetic,72,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
282,UID-0282,HHS-ONC-2026-0001-0135,real,35,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
283,UID-0283,SYNTH-0103,synthetic,78,real,0,,95,real,0,,90,real,0,,92,real,0,,10,synthetic,1,,FALSE
284,UID-0284,HHS-ONC-2026-0001-0417,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
285,UID-0285,HHS-ONC-2026-0001-0037,real,78,real,1,,90,real,1,,90,real,1,,75,real,1,,0,synthetic,0,,FALSE
286,UID-0286,SYNTH-0078,synthetic,88,real,0,,85,real,0,,90,real,0,,92,real,0,,98,real,0,,FALSE
287,UID-0287,HHS-ONC-2026-0001-0008,real,32,synthetic,0,,80,real,1,,80,real,1,,72,real,1,,100,real,1,,FALSE
288,UID-0288,HHS-ONC-2026-0001-0026,real,72,real,1,,80,real,1,,85,real,1,,82,real,1,,0,synthetic,0,,FALSE
289,UID-0289,HHS-ONC-2026-0001-0283,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,10,synthetic,0,,FALSE
290,UID-0290,HHS-ONC-2026-0001-0072,real,78,real,1,,90,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
291,UID-0291,HHS-ONC-2026-0001-0331,real,15,synthetic,0,,85,real,1,,85,real,1,,15,synthetic,0,,85,real,1,,FALSE
292,UID-0292,HHS-ONC-2026-0001-0041,real,92,real,1,,90,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
293,UID-0293,HHS-ONC-2026-0001-0308,real,78,real,1,,95,real,1,,95,real,1,,85,real,1,,10,synthetic,0,,FALSE
294,UID-0294,HHS-ONC-2026-0001-0222,real,78,real,1,,90,real,1,,90,real,1,,85,real,1,,95,real,1,,FALSE
295,UID-0295,HHS-ONC-2026-0001-0086,real,78,real,1,,85,real,1,,80,real,1,,82,real,1,,100,real,1,,FALSE
296,UID-0296,HHS-ONC-2026-0001-0299,real,28,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,20,synthetic,0,,FALSE
297,UID-0297,HHS-ONC-2026-0001-0154,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
298,UID-0298,HHS-ONC-2026-0001-0188,real,12,synthetic,0,,95,real,1,,95,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
299,UID-0299,SYNTH-0042,synthetic,78,real,0,,85,real,0,,85,real,0,,85,real,0,,95,real,0,,FALSE
300,UID-0300,HHS-ONC-2026-0001-0275,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,72,real,1,,30,synthetic,0,,TRUE
301,UID-0301,HHS-ONC-2026-0001-0336,real,35,synthetic,0,,85,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
302,UID-0302,SYNTH-0081,synthetic,72,real,0,,85,real,0,,85,real,0,,85,real,0,,90,real,0,,FALSE
303,UID-0303,HHS-ONC-2026-0001-0268,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,20,synthetic,0,,FALSE
304,UID-0304,SYNTH-0064,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,25,synthetic,1,,10,synthetic,1,,FALSE
305,UID-0305,HHS-ONC-2026-0001-0168,real,28,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,0,synthetic,0,,FALSE
306,UID-0306,SYNTH-0095,synthetic,35,synthetic,1,,40,synthetic,1,,40,synthetic,1,,72,real,0,,90,real,0,,FALSE
307,UID-0307,HHS-ONC-2026-0001-0403,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,90,real,1,,FALSE
308,UID-0308,HHS-ONC-2026-0001-0123,real,78,real,1,,90,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
309,UID-0309,HHS-ONC-2026-0001-0312,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
310,UID-0310,HHS-ONC-2026-0001-0210,real,35,synthetic,0,,40,synthetic,0,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
311,UID-0311,HHS-ONC-2026-0001-0256,real,18,synthetic,0,,80,real,1,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
312,UID-0312,HHS-ONC-2026-0001-0169,real,28,synthetic,0,,20,synthetic,0,,40,synthetic,0,,35,synthetic,0,,80,real,1,,TRUE
313,UID-0313,SYNTH-0108,synthetic,35,synthetic,1,,85,real,0,,80,real,0,,35,synthetic,1,,10,synthetic,1,,FALSE
314,UID-0314,HHS-ONC-2026-0001-0357,real,78,real,1,,90,real,1,,90,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
315,UID-0315,HHS-ONC-2026-0001-0377,real,12,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
316,UID-0316,HHS-ONC-2026-0001-0258,real,78,real,1,,80,real,1,,80,real,1,,82,real,1,,100,real,1,,FALSE
317,UID-0317,SYNTH-0059,synthetic,78,real,0,,90,real,0,,90,real,0,,82,real,0,,95,real,0,,FALSE
318,UID-0318,HHS-ONC-2026-0001-0196,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,10,synthetic,0,,FALSE
319,UID-0319,HHS-ONC-2026-0001-0416,real,78,real,1,,80,real,1,,80,real,1,,82,real,1,,95,real,1,,FALSE
320,UID-0320,HHS-ONC-2026-0001-0204,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
321,UID-0321,SYNTH-0091,synthetic,28,synthetic,1,,80,real,0,,85,real,0,,72,real,0,,95,real,0,,FALSE
322,UID-0322,HHS-ONC-2026-0001-0224,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,15,synthetic,0,,TRUE
323,UID-0323,HHS-ONC-2026-0001-0388,real,38,synthetic,0,,40,synthetic,0,,40,synthetic,0,,72,real,1,,85,real,1,,FALSE
324,UID-0324,HHS-ONC-2026-0001-0002,real,12,synthetic,0,,20,synthetic,0,,20,synthetic,0,,75,real,1,,10,synthetic,0,,TRUE
325,UID-0325,HHS-ONC-2026-0001-0340,real,78,real,1,,95,real,1,,95,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
326,UID-0326,HHS-ONC-2026-0001-0167,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,72,real,1,,10,synthetic,0,,TRUE
327,UID-0327,SYNTH-0077,synthetic,28,synthetic,1,,60,real,0,,80,real,0,,35,synthetic,1,,80,real,0,,FALSE
328,UID-0328,HHS-ONC-2026-0001-0144,real,35,synthetic,0,,40,synthetic,0,,60,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
329,UID-0329,HHS-ONC-2026-0001-0110,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,80,real,1,,FALSE
330,UID-0330,HHS-ONC-2026-0001-0116,real,78,real,1,,80,real,1,,90,real,1,,92,real,1,,0,synthetic,0,,FALSE
331,UID-0331,HHS-ONC-2026-0001-0419,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
332,UID-0332,HHS-ONC-2026-0001-0061,real,18,synthetic,0,,80,real,1,,85,real,1,,85,real,1,,0,synthetic,0,,FALSE
333,UID-0333,HHS-ONC-2026-0001-0309,real,92,real,1,,80,real,1,,90,real,1,,75,real,1,,0,synthetic,0,,FALSE
334,UID-0334,HHS-ONC-2026-0001-0303,real,35,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
335,UID-0335,HHS-ONC-2026-0001-0050,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
336,UID-0336,HHS-ONC-2026-0001-0396,real,35,synthetic,0,,80,real,1,,80,real,1,,82,real,1,,20,synthetic,0,,FALSE
337,UID-0337,HHS-ONC-2026-0001-0248,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
338,UID-0338,HHS-ONC-2026-0001-0048,real,92,real,1,,85,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
339,UID-0339,HHS-ONC-2026-0001-0035,real,8,synthetic,0,,0,synthetic,0,,10,synthetic,0,,5,synthetic,0,,0,synthetic,0,,TRUE
340,UID-0340,HHS-ONC-2026-0001-0052,real,35,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,98,real,1,,FALSE
341,UID-0341,HHS-ONC-2026-0001-0327,real,78,real,1,,100,real,1,,95,real,1,,92,real,1,,100,real,1,,FALSE
342,UID-0342,HHS-ONC-2026-0001-0134,real,92,real,1,,90,real,1,,95,real,1,,92,real,1,,100,real,1,,FALSE
343,UID-0343,HHS-ONC-2026-0001-0287,real,78,real,1,,90,real,1,,95,real,1,,85,real,1,,95,real,1,,FALSE
344,UID-0344,HHS-ONC-2026-0001-0132,real,28,synthetic,0,,85,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
345,UID-0345,SYNTH-0036,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,95,real,0,,FALSE
346,UID-0346,HHS-ONC-2026-0001-0328,real,78,real,1,,90,real,1,,90,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
347,UID-0347,HHS-ONC-2026-0001-0118,real,78,real,1,,85,real,1,,85,real,1,,78,real,1,,90,real,1,,FALSE
348,UID-0348,HHS-ONC-2026-0001-0175,real,35,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,85,real,1,,TRUE
349,UID-0349,HHS-ONC-2026-0001-0372,real,92,real,1,,85,real,1,,80,real,1,,75,real,1,,10,synthetic,0,,FALSE
350,UID-0350,HHS-ONC-2026-0001-0310,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
351,UID-0351,SYNTH-0057,synthetic,62,real,0,,40,synthetic,1,,40,synthetic,1,,72,real,0,,80,real,0,,FALSE
352,UID-0352,HHS-ONC-2026-0001-0220,real,35,synthetic,0,,80,real,1,,85,real,1,,85,real,1,,0,synthetic,0,,FALSE
353,UID-0353,HHS-ONC-2026-0001-0085,real,92,real,1,,90,real,1,,80,real,1,,75,real,1,,100,real,1,,FALSE
354,UID-0354,SYNTH-0089,synthetic,78,real,0,,90,real,0,,90,real,0,,85,real,0,,90,real,0,,FALSE
355,UID-0355,HHS-ONC-2026-0001-0390,real,85,real,1,,95,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
356,UID-0356,HHS-ONC-2026-0001-0149,real,35,synthetic,0,,95,real,1,,95,real,1,,15,synthetic,0,,95,real,1,,FALSE
357,UID-0357,HHS-ONC-2026-0001-0074,real,85,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
358,UID-0358,HHS-ONC-2026-0001-0039,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,90,real,1,,FALSE
359,UID-0359,HHS-ONC-2026-0001-0230,real,92,real,1,,90,real,1,,95,real,1,,85,real,1,,100,real,1,,FALSE
360,UID-0360,SYNTH-0035,synthetic,86,real,0,,90,real,0,,90,real,0,,92,real,0,,100,real,0,,FALSE
361,UID-0361,HHS-ONC-2026-0001-0410,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,99,real,1,,FALSE
362,UID-0362,HHS-ONC-2026-0001-0219,real,92,real,1,,80,real,1,,80,real,1,,82,real,1,,100,real,1,,FALSE
363,UID-0363,HHS-ONC-2026-0001-0362,real,78,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
364,UID-0364,SYNTH-0013,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,0,synthetic,1,,FALSE
365,UID-0365,HHS-ONC-2026-0001-0119,real,86,real,1,,85,real,1,,90,real,1,,82,real,1,,98,real,1,,FALSE
366,UID-0366,HHS-ONC-2026-0001-0415,real,72,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
367,UID-0367,HHS-ONC-2026-0001-0281,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
368,UID-0368,HHS-ONC-2026-0001-0344,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,90,real,1,,FALSE
369,UID-0369,HHS-ONC-2026-0001-0076,real,78,real,1,,95,real,1,,90,real,1,,25,synthetic,0,,100,real,1,,FALSE
370,UID-0370,HHS-ONC-2026-0001-0428,real,35,synthetic,0,,20,synthetic,0,,20,synthetic,0,,72,real,1,,10,synthetic,0,,TRUE
371,UID-0371,SYNTH-0024,synthetic,42,synthetic,1,,40,synthetic,1,,40,synthetic,1,,75,real,0,,90,real,0,,FALSE
372,UID-0372,SYNTH-0060,synthetic,78,real,0,,85,real,0,,85,real,0,,92,real,0,,10,synthetic,1,,FALSE
373,UID-0373,HHS-ONC-2026-0001-0364,real,78,real,1,,95,real,1,,95,real,1,,82,real,1,,98,real,1,,FALSE
374,UID-0374,HHS-ONC-2026-0001-0207,real,85,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,100,real,1,,FALSE
375,UID-0375,HHS-ONC-2026-0001-0334,real,72,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
376,UID-0376,SYNTH-0048,synthetic,22,synthetic,1,,60,real,0,,60,real,0,,75,real,0,,90,real,0,,FALSE
377,UID-0377,HHS-ONC-2026-0001-0107,real,78,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
378,UID-0378,HHS-ONC-2026-0001-0221,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
379,UID-0379,HHS-ONC-2026-0001-0131,real,78,real,1,,90,real,1,,90,real,1,,25,synthetic,0,,90,real,1,,FALSE
380,UID-0380,HHS-ONC-2026-0001-0165,real,38,synthetic,0,,40,synthetic,0,,40,synthetic,0,,35,synthetic,0,,80,real,1,,TRUE
381,UID-0381,HHS-ONC-2026-0001-0152,real,92,real,1,,90,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
382,UID-0382,HHS-ONC-2026-0001-0185,real,78,real,1,,30,synthetic,0,,65,real,1,,75,real,1,,20,synthetic,0,,FALSE
383,UID-0383,HHS-ONC-2026-0001-0296,real,85,real,1,,80,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
384,UID-0384,HHS-ONC-2026-0001-0092,real,28,synthetic,0,,80,real,1,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
385,UID-0385,HHS-ONC-2026-0001-0264,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
386,UID-0386,HHS-ONC-2026-0001-0130,real,68,real,1,,80,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
387,UID-0387,HHS-ONC-2026-0001-0236,real,78,real,1,,90,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
388,UID-0388,HHS-ONC-2026-0001-0226,real,92,real,1,,80,real,1,,80,real,1,,75,real,1,,90,real,1,,FALSE
389,UID-0389,SYNTH-0058,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
390,UID-0390,HHS-ONC-2026-0001-0404,real,78,real,1,,85,real,1,,80,real,1,,85,real,1,,99,real,1,,FALSE
391,UID-0391,HHS-ONC-2026-0001-0017,real,28,synthetic,0,,85,real,1,,80,real,1,,72,real,1,,95,real,1,,FALSE
392,UID-0392,HHS-ONC-2026-0001-0367,real,88,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
